operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|Álvaro Obregón|Distrito Federal|México|,"19.366505,-99.222297",1220070,MXN,1209032.76,64281.19,,72,,16945.41667,,,,http://alvaro-obregon.properati.com.mx/oooq_venta_departamento_alvaro-obregon_cerrada-de-las-romerias_1_edgar-hidalgo-salvador
sell,house,|Benito Juárez|Quintana Roo|México|,"21.16914,-86.864693",685000,MXN,678803.27,36090.24,,65,,10538.46154,,,,http://benito-juarez-quintana-roo.properati.com.mx/ovpi_venta_casa_benito-juarez_adolfo-valencia
sell,house,|Álvaro Obregón|Distrito Federal|México|,"19.341894,-99.224525",2605226,MXN,2581658.28,137260.19,,100,,26052.26,,,,http://alvaro-obregon.properati.com.mx/o46f_venta_casa_alvaro-obregon_encino-grande-antes-ejercito-de-salvacion-fracc-c-del-lt-b-del-predio-gral-el-po_0_adami-delgadillo
sell,apartment,|Iztapalapa|Distrito Federal|México|,"19.356537,-99.018073",680000,MXN,673848.36,35826.8,,69,,9855.072464,,,,http://paraje-zacatepec.properati.com.mx/ls2l_venta_departamento_paraje-zacatepec_jose-maria-morelos_49_jose-camacho
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.391074,-99.165737",2090000,MXN,2071093.27,110114.75,,110,,19000,,,,http://benito-juarez.properati.com.mx/p3ef_venta_departamento_benito-juarez_colonia-del-valle_0_francisco-esquivel
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.445816,-99.170462",1372550,MXN,1360133.48,72314.83,,65,,21116.15385,,,,http://anahuac-miguel-hidalgo.properati.com.mx/pn8h_venta_departamento_anahuac_lago-tlahuac_4_jorge-ramirez-linares
sell,apartment,|Tlalpan|Distrito Federal|México|,"19.281164,-99.20237",436000,MXN,432055.69,22971.3,,50,,8720,,,,http://tlalpan.properati.com.mx/pwy6_venta_departamento_tlalpan_colima_114_jorge-ramirez-linares
sell,house,|Cuauhtémoc|Distrito Federal|México|,"19.436024,-99.15461",5122000,MXN,5076868.56,269924.16,63,0,4284.510476,,,,,http://cuauhtemoc.properati.com.mx/nfi8_venta_casa_cuauhtemoc_house-hunters-asesores
sell,store,|Álvaro Obregón|Distrito Federal|México|,"19.3446502,-99.1884795",971685,USD,18275937.32,971685,176,176,5520.9375,5520.9375,,,,http://alvaro-obregon.properati.com.mx/ike0_venta_local_alvaro-obregon
sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.411434,-99.152197",463520,MXN,459326.7,24421.23,,50,,9270.4,,,,http://cuauhtemoc.properati.com.mx/q5eh_venta_departamento_cuauhtemoc_dr-marquez_24_nestor-davalos
